state,year,exports_total,imports_total,exports_china,imports_china,GDP_millions
North Dakota,2013,4401699407,3601155722,23530070,144896409,51048
North Dakota,2014,5492795154,3829392074,49960606,152513068,55136
Ohio,2008,45627982845,59310604788,1818908552,9643978617,493679
Ohio,2009,34104484238,42912227283,1886249748,7952913346,477591
Ohio,2010,41504651676,52990268955,2287833088,9507707321,494395
Ohio,2011,46457638989,59782782547,2741847946,11212944447,520398
Ohio,2012,48818903140,64143181153,2839269186,11737782712,542097
Ohio,2013,50826901883,66418605338,3373644894,12394982552,562845
Ohio,2014,52240104252,70268895120,3881651849,12670668757,583261
Oklahoma,2008,5076531187,7775230823,198234691,1538362639,157524
Oklahoma,2009,4414915717,5300671331,136568454,1294657582,143500
Oklahoma,2010,5354115399,6526982976,243287901,1572362803,152122
Oklahoma,2011,6227675655,11325013173,368069337,2053990263,162118
Oklahoma,2012,6578543474,11419204829,332803605,2289878323,169346
Oklahoma,2013,6919168136,12382619743,428223386,2297508772,176398
Oklahoma,2014,6308690348,13588520904,273496793,2649791970,183501
Pennsylvania,2008,34648502042,16896901894,2468784349,2673636256,180094
Pennsylvania,2009,28381102168,11944368472,2969546938,1876646397,180612
Pennsylvania,2010,34942927237,13473096389,4060763303,2354998152,191521
Pennsylvania,2011,41103128737,16464403081,3177213385,2980800229,200854
Pennsylvania,2012,38851915248,16570698537,2661707216,2962150525,203352
Pennsylvania,2013,41173078475,14344360855,3380678723,2578092043,204867
Pennsylvania,2014,40354943154,13787777664,4264840885,2631653191,215677
Puerto Rico,2008,19961283553,81335668905,1630498524,8912344916,565988
Puerto Rico,2009,20937064690,57899584298,1540207933,7633669707,566495
Puerto Rico,2010,22783517073,74587931378,2679595865,10610888597,585650
Puerto Rico,2011,18218793751,89444597515,3575908299,15709532653,602686
Puerto Rico,2012,18689534048,80771587834,2858044693,16471984061,619417
Puerto Rico,2013,19966162073,84939428693,2926300637,18092380061,640294
Puerto Rico,2014,20238018075,83086063845,2398383171,18097788090,662890
Rhode Island,2008,1974431973,7451752105,67870315,943952537,47450
Rhode Island,2009,1495522447,5484707568,69314081,888425548,47854
Rhode Island,2010,1948784173,7118694125,77828418,1058057671,49337
Rhode Island,2011,2288561451,8579471206,76482593,1053403451,49932
Rhode Island,2012,2365686090,9459793267,89754581,1224226706,51346
Rhode Island,2013,2164084643,9567994155,97751917,1369003531,53300
Rhode Island,2014,2388748799,8353607988,115841904,1135537256,54960
South Carolina,2008,19852520521,29183187987,790227383,3568157126,163211
South Carolina,2009,16488111133,20831073390,867201660,3282723353,161565
South Carolina,2010,20335645295,25678617657,2156854999,4312891949,165353
South Carolina,2011,24732577525,33842019108,3004731641,5703058293,171550
South Carolina,2012,25115454630,35600518307,3250160210,5449980554,176320
South Carolina,2013,26290858848,32899403892,4878450149,5007738148,182400
South Carolina,2014,29624187799,37728697389,4228389229,5538523165,190304
South Dakota,2008,1653712654,916185984,32760444,165455259,37494
South Dakota,2009,1010960601,577013253,19623949,75232099,36890
South Dakota,2010,1259405035,694998558,42844096,115265968,38718
South Dakota,2011,1461508120,845251861,70789304,113523737,42362
South Dakota,2012,1557347169,953735419,77500274,128225531,43177
South Dakota,2013,1584456757,998617334,48539157,133186205,44673
South Dakota,2014,1593697270,1041924500,39281446,143404248,45867
Tennessee,2008,23237724782,52549382706,1363939489,14111400176,250519
Tennessee,2009,20484299844,41210640625,1293857643,13182123812,248024
Tennessee,2010,25947896703,48201033325,1846248488,16405189747,253671
Tennessee,2011,30016116443,55215395051,1993070919,20281193448,264052
Tennessee,2012,31142980349,61484288586,2179584240,20579923241,280169
Tennessee,2013,32306560694,65025669813,2225039746,22417806353,290125
Tennessee,2014,32940171718,69754014293,2333992810,25333886659,300604
Texas,2008,1.92222E+11,2.87276E+11,8421576434,31906468250,1242323
Texas,2009,1.62995E+11,2.05711E+11,8906958887,27134209550,1168881
Texas,2010,2.06992E+11,2.65646E+11,10274197566,31594753265,1247572
Texas,2011,2.51104E+11,3.18791E+11,10954394475,36357659719,1350773
Texas,2012,2.64665E+11,3.30295E+11,10305009328,40697443727,1449330
Texas,2013,2.79371E+11,3.11867E+11,10847287608,42833409044,1557193
Texas,2014,2.88049E+11,3.02277E+11,10947592596,45446796290,1648036
Utah,2008,10305992531,6340873994,527021469,1370313264,116706
Utah,2009,10337135031,6565827546,542291070,1116669550,113943
Utah,2010,13808477247,8231138495,577591853,1384354260,118491
Utah,2011,18968255935,11114063655,523920842,1488711083,124737
Utah,2012,19259911881,11150304251,607561898,1655599758,128050
Utah,2013,16111136373,10638739147,1412675755,1887432637,134974
Utah,2014,12305529420,11118424611,891716624,2007287296,141410
Vermont,2008,3697411932,3783829738,194116859,231744984,25348
Vermont,2009,3219270656,3106274129,220958315,217176976,25302
Vermont,2010,4278137163,3376342317,584644945,250107216,26469
Vermont,2011,4274554194,4136933427,787198672,281906015,27622
Vermont,2012,4139192306,4350811888,583966804,243083180,28348
Vermont,2013,4026589257,4949229073,491036877,280710917,28838
Vermont,2014,3669277804,4759797794,274869724,226113141,29613
Virginia,2008,18941608711,23329035670,1163778322,3771169840,399994
Virginia,2009,15052091034,18655803968,1175110197,3135701856,410342
Virginia,2010,17168563818,20426631353,1273739654,3724919022,424232
Virginia,2011,18124713206,21474398563,1756505988,3944787466,432206
Virginia,2012,18276950734,21866535223,2003573283,4160361918,444617
Virginia,2013,17903989806,22383230885,1871475213,5043207013,454984
Virginia,2014,19255244148,24286941582,2000142373,5855261491,463613
Washington,2008,54498049919,48342728280,8309842343,11343289359,353744
